,comid,dams,siteID,DA,gages,area,water,urban,barren,forest,shrub,grassland,agriculture,wetland,lc10,lcMax,class,area_maj,urban <= 5,Mikes Vote,
1,23762661,0,14190500,628.3764,1,627.9792911,0.03,5.73,0.03,53.54,13.31,5.02,19.69,2.65,3,53.54,agriculture-forest-shrub,31.76,FALSE,X,
2,1631587,0,8173000,808.3521,1,808.1786801,0.7,9.74,0.2,12.76,18.06,8.5,47.28,2.75,3,47.28,agriculture-forest-shrub,27.83,FALSE,X,< next to 
3,10331001,0,10146400,551.0628,2,551.1393616,0.09,3.37,0.02,36.57,35.34,11.04,13.39,0.18,4,36.57,agriculture-forest-shrub,11.68,TRUE,,
,,,,,,,,,,,,,,,,,,,,,
4,1050457,0,2219000,462.5712,2,462.783404,0.89,18.96,0.54,47.07,0.9,2.36,24.97,4.31,3,47.07,agriculture-forest-urban,38.49,FALSE,,
5,5894384,0,1616500,705.1383,4,704.970967,0.12,19.26,0.22,30.47,0.18,0.98,48.63,0.14,3,48.63,agriculture-forest-urban,35.99,FALSE,X,
6,3286256,0,2337000,627.9966,5,628.157824,0.86,41.03,0.15,41.78,0.64,1.68,10.06,3.79,3,41.78,agriculture-forest-urban,34.7,FALSE,,
7,18402511,0,3428200,469.0917,1,469.2380516,0.2,25.12,0.14,35.76,0.24,0.81,37.52,0.21,3,37.52,agriculture-forest-urban,31.77,FALSE,,
8,19389766,0,3118500,463.2156,7,462.8120932,0.56,48.61,0.1,14.12,0.13,0.5,34.71,1.26,3,48.61,agriculture-forest-urban,30.11,FALSE,X,
9,18393858,0,3432350,496.3347,1,496.5459633,0.14,11.81,0.05,41.94,0.33,0.94,44.74,0.05,3,44.74,agriculture-forest-urban,29.06,FALSE,,
10,18393756,0,3432400,553.9239,2,553.9870639,0.14,17.32,0.18,39.43,0.32,0.89,41.67,0.05,3,41.67,agriculture-forest-urban,28.13,FALSE,,
11,4709484,0,1571500,556.5447,1,556.0696611,0.28,17.73,0.03,52.85,0.16,0.3,26.93,1.73,3,52.85,agriculture-forest-urban,27.26,FALSE,,
12,4726307,0,1580520,426.3984,1,426.4225739,0.11,10.43,0.01,39.18,0.77,0.17,48.72,0.61,3,48.72,agriculture-forest-urban,26.7,FALSE,,
,,,,,,,,,,,,,,,,,,,,,
13,191739,0,6709000,724.4127,3,724.3933114,0.06,10.37,0.01,39.02,21.79,26.76,0.02,1.97,4,39.02,forest-grassland-shrub,18.38,FALSE,X,
15,24227935,0,13335050,842.7564,1,842.8479655,0,3.07,0,27.42,20.19,32.47,16.74,0.11,4,32.47,forest-grassland-shrub,14.23,TRUE,,
16,14552525,0,6425100,547.4151,1,547.4752139,0.07,1.81,0.01,48.31,12.45,32.29,3.11,1.94,3,48.31,forest-grassland-shrub,12.7,TRUE,X,
17,23123209,0,13011900,847.9971,1,847.9844714,0.25,0.25,0.67,44.67,32.82,18.47,0.17,2.71,3,44.67,forest-grassland-shrub,11.91,TRUE,,
18,15932483,0,9471400,785.7477,2,785.4638026,0,2.82,0.01,12.19,53.26,31.5,0.01,0.2,3,53.26,forest-grassland-shrub,7.91,TRUE,,
,,,,,,,,,,,,,,,,,,,,,
19,23988192,0,12080010,408.5118,1,408.3269521,0.78,14.35,0.17,52.2,10.68,8.35,8.62,4.84,3,52.2,forest-shrub-urban,30.92,FALSE,,Good but Weird shape
20,5781369,0,8159000,839.9952,10,840.3913302,0.18,21,0.34,36.33,28.91,11.49,1.07,0.69,4,36.33,forest-shrub-urban,30.9,FALSE,X,< next to 
21,10836388,0,8181480,556.8201,4,557.0040564,0.05,50.74,0.29,30.17,13.14,2.61,1.96,1.06,3,50.74,forest-shrub-urban,27.75,FALSE,,
,,,,,,,,,,,,,,,,,,,,7,
